accuracy,loss,val_accuracy,val_loss,learning_rate
0.3285714387893677,1.449203610420227,0.3333333432674408,1.1015288829803467,0.0010000000474974513
0.3285714387893677,1.0887526273727417,0.3333333432674408,1.0751640796661377,0.0010000000474974513
0.41428571939468384,1.0465360879898071,0.3333333432674408,1.006205439567566,0.0010000000474974513
0.561904788017273,0.9169653058052063,0.9555555582046509,0.7351406812667847,0.0010000000474974513
0.800000011920929,0.6549932360649109,0.9333333373069763,0.4860546886920929,0.0010000000474974513
0.8904761672019958,0.36527490615844727,0.8888888955116272,0.2825683355331421,0.0010000000474974513
0.9333333373069763,0.22226187586784363,1.0,0.10350111126899719,0.0010000000474974513
0.9857142567634583,0.09000399708747864,0.9777777791023254,0.07515706866979599,0.0010000000474974513
0.9904761910438538,0.05050821602344513,0.9777777791023254,0.04794679209589958,0.0010000000474974513
0.9904761910438538,0.03535307198762894,1.0,0.010613509453833103,0.0010000000474974513
1.0,0.016538580879569054,1.0,0.010057704523205757,0.0010000000474974513
1.0,0.010574491694569588,1.0,0.0036944118328392506,0.0010000000474974513
1.0,0.00672514084726572,1.0,0.004371612798422575,0.0010000000474974513
1.0,0.0017315293662250042,1.0,0.01287318766117096,0.0010000000474974513
1.0,0.0016332638915628195,1.0,0.00714233098551631,0.0005000000237487257
1.0,0.002460366114974022,1.0,0.001961326692253351,0.0005000000237487257
1.0,0.002636013785377145,1.0,0.001298065297305584,0.0005000000237487257
0.9952380657196045,0.006974560674279928,1.0,0.009290472604334354,0.0005000000237487257
1.0,0.0011023447150364518,1.0,0.017225423827767372,0.0005000000237487257
1.0,0.002203441457822919,1.0,0.016018278896808624,0.0002500000118743628
1.0,0.0021497090347111225,1.0,0.010066886432468891,0.0002500000118743628
1.0,0.001658643945120275,1.0,0.007282528560608625,0.0001250000059371814
