Scenario,Total_EAD,Expected_Loss,Interest_Income,Operating_Cost,Profit,Profit_Impact,Loss_Impact
Base,792243621961.2902,23728024063.549805,84061850816.50922,14230165636.137085,46103661116.82233,0.0,0.0
Optimistic,792243621961.2902,19160379431.316463,80100632706.70276,13518657354.330227,47421595921.05606,1317934804.2337341,-4567644632.233341
Mild Stress,792243621961.2902,32626033087.380985,88023068926.31567,15368578887.028051,40028456951.906624,-6075204164.915703,8898009023.83118
Severe Stress,792243621961.2902,50419609504.10486,91984287036.1221,17076198763.364498,24488478768.65274,-21615182348.169586,26691585440.555054
